model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
215.0,train,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
215.0,target,True,-2.800000000000001,-0.4,-7.699999999999988,-1.3,-0.4,-0.7999999999999999,-0.6,-1.5000000000000002,-0.6,-1.2,-1.0,-0.5
215.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
216.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
216.0,train,False,-99.9999999999986,946.2999999999997,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
216.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
216.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
218.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
218.0,train,False,-99.9999999999986,946.2999999999997,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
218.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,-1.1,-0.6,-1.0,-1.0,-0.5
218.0,target,False,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
219.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,-1.8000000000000005,-1.0,-0.5
219.0,train,False,999.6,999.4,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.2,971.9,-99.9999999999986,999.5
219.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,-1.8000000000000005,-1.0,-0.5
219.0,target,False,999.6,999.4,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.2,985.1,-99.9999999999986,999.5
220.0,train,True,999.2,-0.4,-1.1,998.6,-0.4,-0.7999999999999999,-0.6,998.8,999.6,999.0,-1.0,-0.5
220.0,train,False,999.4,990.2,987.4,999.4,-99.9999999999986,-99.9999999999986,-99.9999999999986,998.2,999.6,990.0,-99.9999999999986,999.5
220.0,target,True,999.2,-0.4,-1.1,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.4,999.6,999.0,-1.0,-0.5
220.0,target,False,999.4,-99.9999999999986,999.4,999.4,-99.9999999999986,-99.9999999999986,-99.9999999999986,998.2,999.6,983.3,-99.9999999999986,999.5
221.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,-1.8000000000000005,-1.0,-0.5
221.0,train,False,999.6,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.4,-99.9999999999986,-99.9999999999986,-99.9999999999986
221.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,999.6,999.2,-1.0,-0.5
221.0,target,False,999.4,999.6,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.4,998.3,-99.9999999999986,-99.9999999999986
222.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
222.0,train,False,999.2,967.8999999999997,959.8999999999997,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,996.5,998.4,998.8,-99.9999999999986,-99.9999999999986
222.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
222.0,target,False,999.2,967.8999999999997,959.8999999999997,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,996.5,998.4,998.8,-99.9999999999986,-99.9999999999986
223.0,train,True,-2.900000000000001,-0.4,999.4,-1.3,-0.4,-0.7999999999999999,-0.6,-1.6000000000000003,-0.6,-1.2,-1.0,-0.5
223.0,train,False,967.5999999999997,966.8999999999997,999.6,966.2999999999997,-99.9999999999986,-99.9999999999986,-99.9999999999986,903.6000000000013,-99.9999999999986,998.3,-99.9999999999986,-99.9999999999986
223.0,target,True,-2.800000000000001,-0.4,-1.1,999.0,-0.4,-0.7999999999999999,-0.7999999999999999,-1.6000000000000003,-0.6,-1.2,-1.0,-0.5
223.0,target,False,967.5999999999997,957.1999999999997,984.3,993.3,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.4,-99.9999999999986,998.0,-99.9999999999986,-99.9999999999986
224.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.2,-0.6,999.1,-1.0,-0.5
224.0,train,False,999.6,997.7,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.4,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
224.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.2,-0.6,999.1,-1.0,-0.5
224.0,target,False,999.6,997.7,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.4,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
225.0,train,True,999.6,-0.4,999.1,999.5,-0.4,-0.7999999999999999,-0.7999999999999999,-1.1,-0.6,-1.0,-1.0,-0.5
225.0,train,False,999.6,970.4,999.1,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,996.2,999.0,999.2,-99.9999999999986,-99.9999999999986
225.0,target,True,999.6,-0.4,999.1,999.5,-0.4,-0.7999999999999999,-0.7999999999999999,-1.1,-0.6,-1.0,-1.0,-0.5
225.0,target,False,999.6,-99.9999999999986,999.1,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,998.4,999.0,999.2,-99.9999999999986,-99.9999999999986
226.0,train,True,999.2,-0.4,-1.1,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.2,-0.6,-1.0,-1.0,-0.5
226.0,train,False,999.4,999.4,999.4,999.0,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,-99.9999999999986
226.0,target,True,999.2,-0.4,-1.1,999.4,-0.4,-0.7999999999999999,-0.7999999999999999,999.2,-0.6,-1.0,-1.0,-0.5
226.0,target,False,999.4,999.4,999.4,999.0,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.2,-99.9999999999986,976.3,-99.9999999999986,-99.9999999999986
227.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,999.6,-1.8000000000000005,-1.0,-0.5
227.0,train,False,999.5,999.6,999.6,999.6,-99.9999999999986,997.3,-99.9999999999986,999.6,999.6,974.9,-99.9999999999986,926.5
227.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,999.4,-0.6,-1.8000000000000005,-1.0,-0.5
227.0,target,False,999.6,999.4,999.6,999.6,-99.9999999999986,976.8,-99.9999999999986,999.6,998.2,995.0,-99.9999999999986,928.5999999999997
228.0,train,True,-2.800000000000001,-0.4,-4.300000000000002,-1.3,-0.4,-0.7999999999999999,-0.7999999999999999,-1.3,-0.6,-1.2,-1.0,-0.5
228.0,train,False,998.7,995.0,-99.9999999999986,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,-99.9999999999986,-99.9999999999986,996.3
228.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
228.0,target,False,999.2,947.6999999999997,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.6,-99.9999999999986,-99.9999999999986,933.7999999999997
229.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
229.0,train,False,999.4,997.3,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,908.1000000000008,991.8,-99.9999999999986,966.6999999999997
229.0,target,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,-0.6,-1.0,-1.0,-0.5
229.0,target,False,999.4,997.3,999.6,999.6,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.6,999.0,991.6,-99.9999999999986,989.7
230.0,train,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,999.2,-0.6,-1.0,-1.0,-0.5
230.0,train,False,998.8,-99.9999999999986,985.0,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.4,999.6,924.9,-99.9999999999986,-99.9999999999986
230.0,target,True,-2.800000000000001,-0.4,-1.1,-1.3,-0.4,-0.7999999999999999,-0.6,999.2,-0.6,-1.0,-1.0,-0.5
230.0,target,False,998.8,-99.9999999999986,985.0,999.2,-99.9999999999986,-99.9999999999986,-99.9999999999986,999.4,999.6,924.9,-99.9999999999986,-99.9999999999986
231.0,train,True,999.6,-0.4,999.6,999.6,-0.4,-0.7999999999999999,-0.6,-0.8999999999999999,999.6,-1.0,-1.0,-0.5
