model,type,Dominant_Moving,Env1,Env2,Env3,Env4,Env5,Env6,Env7,Env8,Env9,Env10,Env11,Env12
225.0,target,False,3.0,999.0,8.0,3.0,999.0,999.0,999.0,15.0,9.0,7.0,999.0,999.0
226.0,train,True,7.0,3.0,10.0,5.0,3.0,7.0,7.0,7.0,5.0,9.0,9.0,4.0
226.0,train,False,5.0,5.0,5.0,9.0,999.0,999.0,999.0,7.0,999.0,999.0,999.0,999.0
226.0,target,True,7.0,3.0,10.0,5.0,3.0,7.0,7.0,7.0,5.0,9.0,9.0,4.0
226.0,target,False,5.0,5.0,5.0,9.0,999.0,999.0,999.0,7.0,999.0,236.0,999.0,999.0
227.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,3.0,17.0,9.0,4.0
227.0,train,False,4.0,3.0,3.0,3.0,999.0,26.0,999.0,3.0,3.0,250.0,999.0,734.0
227.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,5.0,5.0,17.0,9.0,4.0
227.0,target,False,3.0,5.0,3.0,3.0,999.0,231.0,999.0,3.0,17.0,49.0,999.0,713.0
228.0,train,True,27.0,3.0,42.0,12.0,3.0,7.0,7.0,12.0,5.0,11.0,9.0,4.0
228.0,train,False,12.0,49.0,999.0,3.0,999.0,999.0,999.0,3.0,3.0,999.0,999.0,36.0
228.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
228.0,target,False,7.0,522.0,3.0,3.0,999.0,999.0,999.0,3.0,3.0,999.0,999.0,661.0
229.0,train,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
229.0,train,False,5.0,26.0,3.0,3.0,999.0,999.0,999.0,3.0,918.0,81.0,999.0,332.0
229.0,target,True,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,9.0,9.0,4.0
229.0,target,False,5.0,26.0,3.0,3.0,999.0,999.0,999.0,3.0,9.0,83.0,999.0,102.0
230.0,train,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,7.0,5.0,9.0,9.0,4.0
230.0,train,False,11.0,999.0,149.0,7.0,999.0,999.0,999.0,5.0,3.0,750.0,999.0,999.0
230.0,target,True,27.0,3.0,10.0,12.0,3.0,7.0,5.0,7.0,5.0,9.0,9.0,4.0
